q4_results.state,q4_results.city,q4_results.severity,q4_results.accident_count,q4_results.avg_duration_minutes
OH,Carroll,1,1,74.05
TX,Carrollton,1,19,50.75
VA,Carrollton,1,1,60.0
PA,Carrolltown,1,1,42.83
VA,Carrsville,1,1,59.85
CA,Carson,1,1,44.73
VA,Carson,1,1,29.08
NV,Carson City,1,9,43.31
NJ,Carteret,1,1,45.0
GA,Cartersville,1,1,59.77
MO,Carthage,1,1,29.72
CA,Caruthers,1,5,32.85
MA,Carver,1,3,50.25
NC,Cary,1,51,67.49
FL,Caryville,1,1,64.3
CA,Caspar,1,2,29.82
SC,Cassatt,1,6,53.79
FL,Casselberry,1,10,25.99
CA,Castaic,1,4,44.75
OH,Castalia,1,1,29.73
UT,Castle Dale,1,2,37.43
NC,Castle Hayne,1,1,120.0
CO,Castle Rock,1,8,33.5
WA,Castle Rock,1,1,29.75
NY,Castleton on Hudson,1,1,60.0
CA,Castro Valley,1,81,29.28
CA,Castroville,1,30,29.96
SC,Catawba,1,7,40.4
PA,Catawissa,1,1,60.02
CA,Catheys Valley,1,1,52.38
MD,Catonsville,1,2,29.67
NY,Catskill,1,3,55.0
AZ,Cave Creek,1,10,57.98
IL,Cave-in-Rock,1,1,59.62
SC,Cayce,1,2,59.84
CA,Cayucos,1,2,37.3
CA,Cazadero,1,6,24.98
MD,Cecilton,1,1,34.97
UT,Cedar City,1,1,46.35
TX,Cedar Creek,1,1,90.05
MO,Cedar Hill,1,2,29.64
TX,Cedar Park,1,10,51.07
NC,Cedar Point,1,1,120.0
IA,Cedar Rapids,1,1,28.6
MI,Cedar Springs,1,12,42.11
UT,Cedar Valley,1,1,45.0
OH,Cedarville,1,1,29.82
CO,Centennial,1,1,29.53
MO,Center,1,1,59.8
NH,Center Conway,1,1,44.93
NY,Center Moriches,1,1,29.63
NH,Center Sandwich,1,1,90.83
PA,Center Valley,1,1,44.02
OH,Centerburg,1,1,44.85
NY,Centereach,1,1,64.82
MA,Centerville,1,3,19.86
OH,Centerville,1,1,29.35
UT,Centerville,1,7,42.69
SC,Central,1,21,49.74
NY,Central Islip,1,5,49.34
OR,Central Point,1,1,29.65
AL,Centre,1,1,29.43
VA,Centreville,1,1,44.87
FL,Century,1,1,29.55
CA,Ceres,1,15,31.32
CA,Cerritos,1,6,54.02
OH,Chagrin Falls,1,16,28.77
PA,Chalfont,1,2,48.67
AZ,Chambers,1,1,89.38
PA,Chambersburg,1,1,32.1
FL,Champions Gate,1,2,45.0
MN,Champlin,1,2,37.47
AZ,Chandler,1,173,52.27
